Rank,Stadium,Seating capacity,Region,Country,City,Home team(s),location
68,Estadio Olímpico Universitario,68954,North America,Mexico,Mexico City,UNAM Pumas,"[19.33175425, -99.1922849721723]"
69,Gillette Stadium,68756,North America,United States,"Foxborough, Massachusetts","New England Patriots, New England Revolution","[42.091252600000004, -71.2644646105907]"
70,King Abdullah Sports City Stadium,68560,West Asia,Saudi Arabia,Jeddah,"Saudi Arabia national football team, Al-Ahli Saudi FC, Al-Ittihad Saudi Club",Location not found
71,Lincoln Financial Field,68532,North America,United States,Philadelphia,"Philadelphia Eagles, Temple Owls football","[39.9009099, -75.16748915605905]"
72,Levi's Stadium,68500,North America,United States,"Santa Clara, California",San Francisco 49ers,"[37.403158250000004, -121.96983144425579]"
73,Acrisure Stadium,68400,North America,United States,Pittsburgh,"Pittsburgh Steelers, Pittsburgh Panthers football","[40.4467166, -80.01574564331888]"
74,Gazprom Arena,68134,Europe,Russia,Saint Petersburg,FC Zenit Saint Petersburg,"[59.9723766, 30.221060751610707]"
75,Salt Lake Stadium,68000,South Asia,India,Kolkata,"India national football team, Mohun Bagan Super Giant, East Bengal FC, Mohammedan SC","[22.5731115, 88.4030891]"
76,National Stadium,68000,East Asia,Japan,Tokyo,No team,"[35.67785955, 139.71351420013758]"
77,TIAA Bank Field,67814,North America,United States,"Jacksonville, Florida",Jacksonville Jaguars,Location not found
78,Orange Vélodrome,67394,Europe,France,Marseille,Olympique de Marseille,"[43.26983495, 5.395911664099216]"
79,Puskás Aréna,67215,Europe,Hungary,Budapest,Hungary national football team,"[47.50310895, 19.098050892074227]"
80,Scottish Gas Murrayfield Stadium,67144,Europe,Scotland,Edinburgh,Scotland national rugby union team,"[55.94231325, -3.240895092804992]"
81,Lucas Oil Stadium,67000,North America,United States,"Indianapolis, Indiana",Indianapolis Colts,"[39.7590621, -86.16383761053042]"
82,MorumBIS,66975,South America,Brazil,"São Paulo, São Paulo",São Paulo FC,"[-23.59999095, -46.720101747269496]"
83,The Dome,66965,North America,United States,St. Louis,St. Louis BattleHawks,"[38.63285405, -90.18861035237612]"
84,Yadegar-e-Emam Stadium,66833,West Asia,Iran,Tabriz,Tractor Sazi FC,Location not found
85,Seoul World Cup Stadium,66704,East Asia,South Korea,Seoul,FC Seoul,"[37.5683021, 126.89724766470337]"
86,US Bank Stadium,66655,North America,United States,Minneapolis,Minnesota Vikings,"[44.97361545, -93.25746628273055]"
87,Daegu Stadium,66422,East Asia,South Korea,Daegu,Daegu FC,"[35.8297517, 128.6901254233253]"
88,Workers' Stadium,66161,East Asia,China,Beijing,"Beijing Guoan, China national football team","[39.92951015, 116.44099518054804]"
89,London Stadium,66000,Europe,England,London,West Ham United,"[51.53862065, -0.016623759002470637]"
90,Raymond James Stadium,65847,North America,United States,"Tampa, Florida","Tampa Bay Buccaneers, South Florida Bulls football, Tampa Bay Vipers","[27.97597925, -82.50421799673616]"
91,Hard Rock Stadium,65326,North America,United States,"Miami Gardens, Florida","Miami Dolphins, Miami Hurricanes football","[25.95790315, -80.24001919530573]"
92,Olympic Stadium,65255,North America,Canada,"Montreal, Quebec",CF Montréal,"[45.55779835, -73.55164580516643]"
93,Basra International Stadium,65227,West Asia,Iraq,Basra,Iraq national football team,"[30.4399273, 47.7798634136076]"
94,Camping World Stadium,65000,North America,United States,"Orlando, Florida",No team,"[28.5390623, -81.4027485783759]"
95,Alamodome,65000,North America,United States,San Antonio,UTSA Roadrunners football,"[29.4168923, -98.47889487569296]"
96,Ford Field,65000,North America,United States,Detroit,Detroit Lions,"[42.33995675, -83.04561657403696]"
97,Stade Ibn Battuta,65000,Africa,Morocco,Tangier,IR Tanger,"[35.74124485, -5.858075642406442]"
98,Estádio do Sport Lisboa e Benfica,64642,Europe,Portugal,Lisbon,Benfica,"[38.7526893, -9.184689881825172]"
99,Stade du 5-juillet-1962,64000,Africa,Algeria,Algiers,Algeria national football team,"[36.75951425, 2.9952724128175774]"
100,Castelão,63903,South America,Brazil,"Fortaleza, Ceará","Ceará SC, Fortaleza EC","[-3.80674195, -38.52167940726448]"
101,Saitama Stadium 2002,63700,East Asia,Japan,Saitama,"Urawa Red Diamonds, Saitama Wild Knights","[35.90308, 139.7168256210814]"
102,Ellis Park Stadium,62567,Africa,South Africa,"Johannesburg, Gauteng","Orlando Pirates FC, Emirates Johannesburg Lions","[-26.197478850000003, 28.06076823792536]"
103,Tottenham Hotspur Stadium,62303,Europe,England,London,Tottenham Hotspur,"[51.604157, -0.0662604100000004]"
104,VELTINS-Arena,62271,Europe,Germany,Gelsenkirchen,FC Schalke 04,"[51.55459375, 7.06760006899412]"
105,Yizhong Sports Centre Stadium,62000,East Asia,China,"Qingdao, Shandong",Qingdao Jonoon FC,Location not found
106,Estádio Governador Magalhães Pinto,61846,South America,Brazil,"Belo Horizonte, Minas Gerais","Atlético Mineiro, Cruzeiro EC","[-19.865911500000003, -43.971043404332164]"
107,King Fahd International Stadium,61781,West Asia,Saudi Arabia,Riyadh,"Saudi Arabia national football team, Al-Hilal, Al-Nassr, Al-Shabab","[24.7885806, 46.83914486009958]"
108,Soldier Field,61500,North America,United States,Chicago,Chicago Bears,"[41.8623356, -87.61764770075143]"
109,Nanjing Olympic Sports Centre Stadium,61443,East Asia,China,"Nanjing, Jiangsu",No team,"[32.010682450000004, 118.71975425408809]"
110,Anfield,61276,Europe,England,"Liverpool, England",Liverpool FC,"[53.43091645, -2.9609313526360888]"
111,Estadio Benito Villamarín,60720,Europe,Spain,Seville,Real Betis,"[37.356535449999996, -5.981756556248882]"
112,Abuja Stadium,60491,Africa,Nigeria,Abuja,Nigeria national football team,"[9.0459078, 7.4517158]"
113,MHPArena,60469,Europe,Germany,Stuttgart,VfB Stuttgart,"[48.79224875, 9.232085699979091]"
114,Celtic Park,60411,Europe,Scotland,Glasgow,Celtic FC,"[55.85018145, -4.2068226877121955]"
115,Estadio de la UNSA,60370,South America,Peru,Arequipa,FBC Melgar,"[-16.4073043, -71.52046853862656]"
116,Emirates Stadium,60338,Europe,England,London,Arsenal,"[51.55504035, -0.1083996708672374]"
117,Shenzhen Universiade Sports Centre Stadium,60334,East Asia,China,"Shenzhen, Guangdong",No team,"[22.6969481, 114.21233392711093]"
118,Estadio Centenario,60235,South America,Uruguay,Montevideo,Uruguay national football team,"[-34.89453925, -56.15268409413207]"
119,Estádio José do Rego Maciel,60044,South America,Brazil,"Recife, Pernambuco",Santa Cruz FC,"[-8.0268093, -34.8911966744522]"
120,Al-Bayt Stadium,60000,West Asia,Qatar,Al-Khor,No team,"[25.6521339, 51.487805473145755]"
121,Benjamin Mkapa National Stadium,60000,Africa,Tanzania,Dar es-Salaam,"Tanzania national football team, Young Africans","[-6.8535746500000005, 39.273293473702665]"
122,Hefei Olympic Sports Centre Stadium,60000,East Asia,China,"Hefei, Anhui",Anhui Jiufang,"[31.797877, 117.22261203081261]"
123,Jaber al-Ahmad International Stadium,60000,West Asia,Kuwait,Kuwait City,Kuwait national football team,Location not found
124,Hammadi Agrebi Stadium,60000,Africa,Tunisia,Tunis,Tunisia national football team,"[36.747771650000004, 10.273139986223581]"
125,Jawaharlal Nehru Stadium,60000,South Asia,India,New Delhi,No team,Location not found
126,Mogadishu Stadium,60000,Africa,Somalia,Mogadishu,Somalia national football team,"[2.06746715, 45.33546478903332]"
127,National Heroes Stadium,60000,Africa,Zambia,Lusaka,Zambian national football team,"[-15.369506699999999, 28.27374202223445]"
128,Autzen Stadium,60000,North America,United States,"Eugene, Oregon",No team,"[44.058217799999994, -123.0684379319035]"
129,Odi Stadium,60000,Africa,South Africa,"Mabopane, Gauteng",No team,Location not found
130,Morodok Techo National Stadium,60000,Southeast Asia,Cambodia,Phnom Penh,Cambodia national football team,"[11.68297715, 104.87630782752696]"
131,Shenyang Olympic Sports Centre Stadium,60000,East Asia,China,"Shenyang, Liaoning",No team,"[41.73911265, 123.45744203075556]"
132,Optus Stadium,60000,Oceania,Australia,"Perth, Western Australia","Perth Glory FC, Fremantle Dockers, West Coast Eagles",Location not found
133,Estadio Monumental Isidro Romero Carbo,59283,South America,Ecuador,Guayaquil,Barcelona Sporting Club,"[-2.1858223499999996, -79.92497004648283]"
134,Groupama Stadium,59186,Europe,France,Décines-Charpieu,Olympique Lyonnais,"[45.7653624, 4.9820543110736715]"
135,Chongqing Olympic Sports Centre Stadium,58680,East Asia,China,Chongqing,No team,"[29.52863975, 106.50216028949413]"
136,Kazimierz Górski National Stadium,58580,Europe,Poland,Warsaw,Poland national football team,Location not found
137,Stadio San Nicola,58270,Europe,Italy,"Bari, Apulia",SSC Bari,"[41.0847276, 16.840084897844584]"
138,Commanders Field,58000,North America,United States,"Landover, Maryland",Washington Commanders,"[38.9077002, -76.86332608690218]"
139,Deutsche Bank Park,58000,Europe,Germany,Frankfurt,Eintracht Frankfurt,"[50.068610250000006, 8.645415384241646]"
140,Estadio La Cartuja de Sevilla,57619,Europe,Spain,Seville,No team,"[37.41723525, -6.004613361716357]"
141,Carter–Finley Stadium,57583,North America,United States,"Raleigh, North Carolina",NC State Wolfpack football,"[35.800846449999995, -78.71960451582763]"
142,Estadio Alberto J. Armando,57200,South America,Argentina,Buenos Aires,CA Boca Juniors,"[-34.63551715, -58.364916326853375]"
143,Volksparkstadion,57030,Europe,Germany,Hamburg,Hamburger SV,"[53.5871535, 9.898705553686273]"
144,Estadio Mario Alberto Kempes,57000,South America,Argentina,Córdoba,"Talleres de Córdoba, some Belgrano de Córdoba matches.","[-31.368846849999997, -64.24614507921008]"
145,Jinan Olympic Sports Centre Stadium,56808,East Asia,China,"Jinan, Shandong",Shandong Taishan,"[36.65637625, 117.11023219400708]"
146,Estadio Jalisco,56713,North America,Mexico,"Guadalajara, Jalisco",Atlas,"[20.70477005, -103.32768461889556]"
147,Commonwealth Stadium,56302,North America,Canada,"Edmonton, Alberta","Edmonton Elks, Canadian men's and women's national teams","[53.55970035, -113.47764750194395]"
148,Dodger Stadium,56000,North America,United States,Los Angeles,Los Angeles Dodgers,"[34.0736263, -118.23897581574036]"
149,Stade du 19-mai-1956,56000,Africa,Algeria,Annaba,USM Annaba,"[36.885860300000004, 7.733074727438258]"
150,Estadi Olímpic Lluís Companys,55926,Europe,Spain,"Barcelona, Catalonia",No team,"[41.36472, 2.155645096956145]"
151,Arena do Grêmio,55662,South America,Brazil,"Porto Alegre, Rio Grande do Sul",Grêmio FBPA,"[-29.974042949999998, -51.195107349371696]"
152,Arena Națională,55634,Europe,Romania,Bucharest,Romania national football team,"[44.439534, 26.1503626]"
153,Stadion Rajko Mitić,55538,Europe,Serbia,Belgrade,"Red Star Belgrade, Serbia national football team","[44.78322025, 20.464675050883898]"
154,Stadion Śląski,55211,Europe,Poland,Chorzów,"Poland national football team, Ruch Chorzów","[50.28824565, 18.973499319484034]"
155,Etihad Stadium,55097,Europe,England,"Manchester, North West England",Manchester City,Location not found
156,Mestalla,55000,Europe,Spain,Valencia,Valencia CF,"[39.4745279, -0.35815663617491666]"
157,National Stadium,55000,Southeast Asia,Singapore,Singapore,Singapore national football team,"[1.30449095, 103.87434371851725]"
158,National Stadium,55000,East Asia,Taiwan,Kaohsiung,Chinese Taipei national football team,"[22.70285345, 120.29363310033875]"
159,He Long Stadium,55000,East Asia,China,"Changsha, Hunan",No team,"[28.181759, 112.97738969646085]"
160,Cape Town Stadium,55000,Africa,South Africa,"Cape Town, Western Cape","Cape Town City FC, DHL Western Cape Stormers","[-33.903460100000004, 18.411145824940803]"
161,Plovdiv Stadium,55000,Europe,Bulgaria,Plovdiv,No team,"[42.14970905, 24.7198409279892]"
162,Bobby Dodd Stadium,55000,North America,United States,Atlanta,Georgia Tech Yellow Jackets football,"[33.772476, -84.39295889500981]"
163,Johan Cruijff Arena,54990,Europe,Netherlands,Amsterdam,AFC Ajax,"[52.314353049999994, 4.942843089053988]"
164,Tianhe Stadium,54856,East Asia,China,"Guangzhou, Guangdong",No team,"[23.1405033, 113.3193596628767]"
165,Stadio Diego Armando Maradona,54726,Europe,Italy,Naples,SSC Napoli,"[40.82797725, 14.192888963935296]"
166,Tianjin Olympic Sports Centre Stadium,54696,East Asia,China,Tianjin,Tianjin Teda,Location not found
167,MERKUR SPIEL-ARENA,54600,Europe,Germany,Düsseldorf,Fortuna Düsseldorf,"[51.261629049999996, 6.73315161013141]"
168,Boris Paitchadze Dinamo Arena,54549,West Asia,Georgia,Tbilisi,"Georgia national football team, FC Dinamo Tbilisi","[41.72302845, 44.78979426716354]"
169,Wuhan Sports Centre Stadium,54357,East Asia,China,"Wuhan, Hubei",No team,"[30.50246795, 114.16612807957725]"
170,BC Place Stadium,54320,North America,Canada,"Vancouver, British Columbia","Vancouver Whitecaps FC, BC Lions","[49.2770655, -123.1095645]"
171,Yankee Stadium,54251,North America,United States,New York City,"New York Yankees, New York City FC","[40.82958275, -73.92652118491901]"
172,Hrazdan Stadium,54208,West Asia,Armenia,Yerevan,"FC Ararat Yerevan, Ulisses FC","[40.18036705, 44.494672292188596]"
173,BORUSSIA-PARK,54057,Europe,Germany,Mönchengladbach,Borussia Mönchengladbach,"[51.174624949999995, 6.385409367871812]"
174,Moses Mabhida Stadium,54000,Africa,South Africa,"Durban, KwaZulu-Natal","AmaZulu FC, Cell C Durban Sharks","[-29.8290201, 31.03137408601279]"
175,Busan Asiad Main Stadium,53864,East Asia,South Korea,Busan,Busan IPark,"[35.1900767, 129.05954814285263]"
176,Estádio Estadual Jornalista Edgar Augusto Proença,53645,South America,Brazil,"Belém, Pará","Paysandu SC, Clube do Remo, Tuna Luso Brasileira, SC Belem","[-1.3811727, -48.44393180727559]"
177,Estadio Único Diego Armando Maradona,53600,South America,Argentina,La Plata,No team,"[-34.913840750000006, -57.989047624769114]"
178,Adelaide Oval,53500,Oceania,Australia,"Adelaide, South Australia","Adelaide Crows, Port Adelaide Powers","[-34.9155596, 138.59627721943045]"
179,Docklands Stadium,53359,Oceania,Australia,"Melbourne, Victoria","Western Bulldogs, Essendon, St. Kilda, Carlton, North Melbourne","[-37.816529, 144.94751697668812]"
180,Estádio Municipal João Havelange,53350,South America,Brazil,"Uberlândia, Minas Gerais",Uberlânia EC,Location not found
181,San Mamés,53332,Europe,Spain,Bilbao,Athletic Bilbao,"[43.26420400000001, -2.94939145292929]"
182,Aleppo International Stadium,53200,West Asia,Syria,Aleppo,Al-Ittihad,"[36.1849318, 37.11764183655198]"
183,Estadio Nacional,53086,South America,Peru,Lima,Peru national football team,"[-12.0673803, -77.03378302724295]"
184,Huanglong Stadium,52672,East Asia,China,"Hangzhou, Zhejiang",Hangzhou FC,Location not found
185,RAMS Park,52652,Europe,Turkey,Istanbul,Galatasaray,"[41.10342555, 28.99103795029205]"
186,Suncorp Stadium,52500,Oceania,Australia,"Brisbane, Queensland","Brisbane Broncos, Queensland Maroons, Brisbane Roar FC, Queensland Reds","[-27.46486025, 153.0096055]"
187,St. James' Park,52405,Europe,England,"Newcastle upon Tyne, North East",Newcastle United,Location not found
188,Kings Park Stadium,52000,Africa,South Africa,"Durban, KwaZulu-Natal","Lamontville Golden Arrows, Cell C Durban Sharks","[-29.824805050000002, 31.028973520139886]"
189,Newlands Stadium,51900,Africa,South Africa,"Cape Town, Western Cape",No team,"[-33.970522599999995, 18.46856262554025]"
190,Hampden Park,51866,Europe,Scotland,Glasgow,"Scotland national football team, Queen's Park","[55.82601405, -4.251927072450821]"
191,Estadio Monumental de Maturín,51796,South America,Venezuela,Maturín,Monagas Sport Club,Location not found
192,Loftus Versfeld Stadium,51762,Africa,South Africa,"Pretoria, Gauteng",SuperSport United and Vodacom Pretoria Bulls,"[-25.753234749999997, 28.22293274766396]"
193,Aviva Stadium,51700,Europe,Ireland,Dublin,"Leinster Rugby, Republic of Ireland national football team, Ireland national rugby union team","[53.3352254, -6.2281850790431115]"
194,Guiyang Olympic Sports Centre Stadium,51638,East Asia,China,"Guiyang, Guizhou",No team,"[26.6206664, 106.605846725]"
195,Hohhot City Stadium,51632,East Asia,China,"Hohhot, Inner Mongolia",No team,"[40.85113965, 111.65046250528356]"
196,Rajamangala National Stadium,51552,Southeast Asia,Thailand,Bangkok,Thailand national football team,"[13.75542905, 100.62215594572871]"
197,Donbass Arena,51504,Europe,Ukraine,Donetsk,No team,"[48.02110375, 37.809053135828854]"
198,Estadio Presidente Juan Domingo Perón,51389,South America,Argentina,Avellaneda,Racing Club de Avellaneda,"[-34.66756475, -58.368504739316464]"
199,İzmir Atatürk Stadyumu,51295,West Asia,Turkey,İzmir,"Altay SK, Göztepe AŞ","[38.434983450000004, 27.17801135]"
200,Stadion Feijenoord,51117,Europe,Netherlands,Rotterdam,Feyenoord,"[51.8938646, 4.523228129966229]"
201,Estadio BBVA,51000,North America,Mexico,Monterrey,CF Monterrey,Location not found
202,Ghadir Stadium,51000,West Asia,Iran,Ahvaz,Foolad FC,Location not found
203,Estádio José Pinheiro Borda,50942,South America,Brazil,Porto Alegre. Rio Grande do Sul,SC Internacional,"[-30.0654898, -51.23491778159686]"
204,Ibrox Stadium,50817,Europe,Scotland,Glasgow,Rangers FC,"[55.85322065, -4.309323914605736]"
205,Shizuoka Stadium,50889,East Asia,Japan,"Fukuroi, Shizuoka","Júbilo Iwata, Shimizu S-Pulse, Shizuoka Blue Revs","[34.74343045, 137.97072889535485]"
206,Ernst-Happel-Stadion,50865,Europe,Austria,Vienna,Austria national football team,"[48.20718935, 16.420917065669776]"
207,Huntington Bank Stadium,50805,North America,United States,Minneapolis,Minnesota Golden Gophers football,"[44.97653965, -93.2231906824895]"
208,Estadio Cuauhtémoc,50754,North America,Mexico,Puebla,Puebla FC,"[19.077983250000003, -98.16433751006463]"
209,Strawberry Arena,50653,Europe,Sweden,Solna,"Sweden men's national football team, AIK Fotboll","[59.37250385, 18.00166723894346]"
210,Ülker Stadyumu,50509,West Asia,Turkey,Istanbul,Fenerbahçe,"[40.98758065, 29.03697729928941]"
211,Stanford Stadium,50424,North America,United States,"Palo Alto, California",No team,Location not found
212,Stade Pierre-Mauroy,50186,Europe,France,Villeneuve-d'Ascq,Lille OSC,"[50.61190435, 3.1305079515303946]"
213,Stade Roi Baudouin,50122,Europe,Belgium,Brussels,Belgium national football team,"[50.89572205, 4.334127921935032]"
214,Shaanxi Province Stadium,50100,East Asia,China,"Xi'an, Shaanxi",No team,"[34.234054150000006, 108.93658257992172]"
215,Ajinomoto Stadium,50100,East Asia,Japan,"Chofu, Tokyo","FC Tokyo, Tokyo Verdy, Tokyo Sungoliath, Toshiba Brave Lupus Tokyo","[35.66418645, 139.52707517816015]"
216,Estádio José Alvalade,50095,Europe,Portugal,Lisbon,Sporting CP,"[38.761216399999995, -9.160783134674658]"
217,Estádio do Dragão,50033,Europe,Portugal,Porto,FC Porto,"[41.161823549999994, -8.583749198495163]"
218,Casa de Apostas Arena Fonte Nova,50025,South America,Brazil,"Salvador, Bahia",EC Bahia,"[-12.97888575, -38.503482173027365]"
219,Stade Olympique de Sousse,50000,Africa,Tunisia,Sousse,Étoile du Sahel,"[35.82349385, 10.613512133624287]"
220,RheinEnergieSTADION,50000,Europe,Germany,Cologne,1. FC Köln,"[50.933505499999995, 6.875116740301886]"
221,Harbin Sports City Centre Stadium,50000,East Asia,China,"Harbin, Heilongjiang",No team,Location not found
222,Greenfield International Stadium,50000,South Asia,India,Trivandrum,No team,"[8.5714901, 76.88440346927736]"
223,EMS Stadium,50000,South Asia,India,Kozhikode,"India national football team, Gokulam Kerala FC","[11.2563999, 75.78562514924866]"
224,KD Singh Babu Stadium,50000,South Asia,India,Lucknow,No team,"[26.8539449, 80.9368084]"
225,Eden Park,50000,Oceania,New Zealand,Auckland,"Auckland Blues, New Zealand Warriors","[-36.8750352, 174.7440567126547]"
226,Estádio 11 de Novembro,50000,Africa,Angola,Luanda,"Angola national football team, Primeiro de Agosto, Petro Luanda","[-8.96992095, 13.283531084692665]"
227,Henan Provincial Stadium,50000,East Asia,China,"Zhengzhou, Henan",No team,"[34.83750225, 113.6228539022892]"
228,Jiangxi Olympic Sports Center,50000,East Asia,China,"Nanchang, Jiangxi",No team,Location not found
229,Max-Morlock-Stadion,50000,Europe,Germany,Nuremberg,1. FC Nürnberg,"[49.426256949999996, 11.125670595735157]"
230,June 11 Stadium,50000,Africa,Libya,Tripoli,"Libya, Al-Ahly SC, Al-Ittihad Tripoli, Al-Madina SC","[32.859905749999996, 13.135900047303338]"
231,Xinjiang Sports Centre Stadium,50000,East Asia,China,"Urumqi, Xinjiang",No team,"[43.87900405, 87.55947839585227]"
232,Kim Il-sung Stadium,50000,East Asia,North Korea,Pyongyang,Pyongyang City Sports Club,"[39.04385845, 125.75773772090233]"
233,EDION Stadium Hiroshima,50000,East Asia,Japan,Hiroshima,Sanfrecce Hiroshima,"[34.4407675, 132.39321828072832]"
234,Pars Shiraz Stadium,50000,West Asia,Iran,Shiraz,Fajr Sepasi Shiraz FC,Location not found
235,Stade du 26 mars,50000,Africa,Mali,Bamako,Stade Malien,"[12.6043766, -7.921737394539251]"
236,Stade Abdoulaye Wade,50000,Africa,Senegal,Dakar,Senegal national football team,"[14.73275715, -17.20149234388834]"
237,Sultan Mizan Zainal Abidin Stadium,50000,Southeast Asia,Malaysia,Kuala Terengganu,Terengganu FA,"[5.369713450000001, 103.10568116031331]"
238,Estadio Akron,49850,North America,Mexico,Guadalajara,C.D. Guadalajara,"[20.7017298, -103.32777777898025]"
239,Levy Mwanawasa Stadium,49800,Africa,Zambia,Lusaka,Zesco United,Location not found
240,Fritz-Walter-Stadion,49780,Europe,Germany,Kaiserslautern,1. FC Kaiserslautern,"[49.4345765, 7.7766302915876775]"
241,Estadio José Amalfitani,49540,South America,Argentina,Buenos Aires,CA Vélez Sársfield,"[-34.6353382, -58.520678812977806]"
242,Camille Chamoun Sports City Stadium,49500,West Asia,Lebanon,Beirut,"Lebanon national football team, Al Ahed FC, Al Ansar FC, Nejmeh SC","[33.86707815, 35.49511761682578]"
