Rank,Stadium,Seating capacity,Region,Country,City,Home team(s),location
292,Ulsan Munsu Football Stadium,44102,East Asia,South Korea,Ulsan,Ulsan HD FC,"[35.53526295, 129.25949485092747]"
293,Arena Pantanal,44097,South America,Brazil,"Cuiabá, Mato Grosso","Cuiabá, Mixto EC","[-15.604064900000001, -56.12229888998701]"
294,Arena da Amazônia,44000,South America,Brazil,"Manaus, Amazonas",Nacional FC,"[-3.0831131999999997, -60.02800518494965]"
295,Suwon World Cup Stadium,43959,East Asia,South Korea,Suwon,Suwon Samsung Bluewings,"[37.2864084, 127.03680502041217]"
296,Stadion Utama Riau,43923,Southeast Asia,Indonesia,"Pekanbaru, Riau",PSPS Pekanbaru,"[0.4834884, 101.3899056]"
297,Allianz Parque,43713,South America,Brazil,"São Paulo, São Paulo",SE Palmeiras,"[-23.52749715, -46.67852807811731]"
298,Shandong Provincial Stadium,43700,East Asia,China,"Jinan, Shandong",No team,"[36.64647655, 117.00578462249345]"
299,Polsat Plus Arena Gdańsk,43615,Europe,Poland,Gdańsk,Lechia Gdańsk,"[54.38991925, 18.640399984268907]"
300,Estadio Pedro Bidegain,43494,South America,Argentina,Buenos Aires,CA San Lorenzo de Almagro,"[-34.6520812, -58.44004466438956]"
301,Stadion Miejski w Poznaniu,43269,Europe,Poland,Poznań,"Lech Poznań, Warta Poznań",Location not found
302,Vasil Levski National Stadium,43230,Europe,Bulgaria,Sofia,Bulgaria national football team,"[42.6875707, 23.335243058604338]"
303,Estadio Universidad San Marcos,43000,South America,Peru,Lima,Deportivo Universidad San Marcos,Location not found
304,Ullevi,43000,Europe,Sweden,Gothenburg,Sweden women's national football team,"[57.705919699999995, 11.987327598897291]"
305,Jinzhou Binhai Sports Centre Stadium,43000,East Asia,China,Jinzhou,No team,"[40.8723509, 121.06440405311713]"
306,Estadio General Santander,42901,South America,Colombia,Cúcuta,Cúcuta Deportivo,"[7.894662650000001, -72.50185252029048]"
307,Villa Park,42682,Europe,England,"Birmingham, West Midlands",Aston Villa,"[52.5091264, -1.8850354312212985]"
308,Perak Stadium,42500,Southeast Asia,Malaysia,Perak,Perak FA,"[4.6094268, 101.10354521874646]"
309,Jeonju World Cup Stadium,42477,East Asia,South Korea,Jeonju,Jeonbuk Hyundai Motors FC,"[35.867807400000004, 127.06458906981494]"
310,Ligga Arena,42372,South America,Brazil,"Curitiba, Paraná",Athletico Paranaense,"[-25.44829025, -49.27693797169357]"
311,Weserstadion,42358,Europe,Germany,Bremen,SV Werder Bremen,"[53.06644785, 8.83767181513466]"
312,Denka Big Swan Stadium,42300,East Asia,Japan,"Niigata, Niigata",Albirex Niigata,"[37.88257595, 139.05915840743222]"
313,Estadio Olimpico Metropolitano de Mérida,42200,South America,Venezuela,Mérida,Estudiantes de Mérida,"[8.55586575, -71.21799652527476]"
314,Daejeon World Cup Stadium,42176,East Asia,South Korea,Daejeon,Daejeon Citizen,"[36.36525335, 127.32510742291791]"
315,Matmut ATLANTIQUE,42115,Europe,France,Bordeaux,FC Girondins de Bordeaux,"[44.89735695, -0.5616058309417205]"
316,Helsingin Olympiastadion,42062,Europe,Finland,Helsinki,Finland national football team,"[60.1870012, 24.927250936847415]"
317,Estádio Serra Dourada,42000,South America,Brazil,"Goiânia, Goiás","Goiás Esporte Clube, Vila Nova, Atlético Goianiense","[-16.6991028, -49.23414203670745]"
318,Estadio Deportivo Cali,42000,South America,Colombia,Cali,Deportivo Cali,Location not found
319,Estadio Modelo Alberto Spencer,42000,South America,Ecuador,Guayaquil,"Club Sport Patria, Club Deportivo Everest, Panamá Sporting Club, Rocafuerte Fútbol Club","[-2.1789233, -79.89435376717735]"
320,Estádio do Zimpeto,42000,Africa,Mozambique,Maputo,Mozambique national football team,"[-25.827653650000002, 32.574981115271044]"
321,Chengdu Sports Centre Stadium,42000,East Asia,China,"Chengdu, Sichuan",No team,"[30.5732276, 103.89364083963076]"
322,Royal Bafokeng Stadium,42000,Africa,South Africa,"Phokeng, North West",No team,"[-25.57877625, 27.160920449845975]"
323,Estadio Universitario,42000,North America,Mexico,San Nicolás de los Garza,Tigres de la UANL,"[25.722606650000003, -100.31198629307636]"
324,Estadio Brigadier General Estanislao López,42000,South America,Argentina,Santa Fe,Club Atlético Colón,"[-31.6632166, -60.72524645483088]"
325,Estadio Marcelo Bielsa,42000,South America,Argentina,Rosario,Newell's Old Boys,"[-32.9561671, -60.66137086404959]"
326,Stade Geoffroy-Guichard,41965,Europe,France,Saint-Étienne,AS Saint-Étienne,"[45.46075665, 4.390093207379497]"
327,Vodafone Park,41903,Europe,Turkey,Istanbul,Beşiktaş J.K.,Location not found
328,Peter Mokaba Stadium,41733,Africa,South Africa,Polokwane,Polokwane City FC,"[-23.92480585, 29.467960090979837]"
329,Estadio Gigante de Arroyito,41654,South America,Argentina,Rosario,Rosario Central,"[-32.91402295, -60.67449898772189]"
330,Estadio Cachamay,41600,South America,Venezuela,Ciudad Guayana,"Atlético Club Mineros de Guayana, AC Minervén FC","[8.3126855, -62.69633953138717]"
331,Estadio de Liga Deportiva Universitaria,41596,South America,Ecuador,Quito,LDU,"[-0.1077231, -78.48907681031837]"
332,Allianz Stadium,41507,Europe,Italy,"Turin, Piedmont",Juventus FC,"[45.10957585, 7.642133800336913]"
333,Sapporo Dome,41484,East Asia,Japan,"Sapporo, Hokkaido",Hokkaido Consadole Sapporo,"[43.0147798, 141.40974344269986]"
334,Stamford Bridge,41663,Europe,England,London,Chelsea,"[51.481686499999995, -0.19103517666346065]"
335,Goyang Stadium,41311,East Asia,South Korea,Goyang,No team,"[37.676484900000005, 126.74315379396498]"
336,Estadio Hernando Siles,41143,South America,Bolivia,La Paz,"La Paz FC, Club Bolívar, The Strongest","[-16.4994503, -68.12285323599266]"
337,Bingu National Stadium,41100,Africa,Malawi,Lilongwe,"Flames, Big Bullets FC","[-13.9438618, 33.75319690123182]"
338,Mbombela Stadium,40929,Africa,South Africa,"Nelspruit, Mpumalanga",No team,"[-25.4617294, 30.92968989749547]"
339,Estadio José Pachencho Romero,40800,South America,Venezuela,Maracaibo,"Deportivo JBL del Zulia, Deportivo Rayo Zuliano","[10.6740483, -71.64499904903353]"
340,Stade Nelson Mandela,40784,Africa,Algeria,Algiers,Algeria national football team,"[36.69394285, 3.1220307427342995]"
341,Kashima Football Stadium,40728,East Asia,Japan,"Kashima, Ibaraki",Kashima Antlers,"[35.9920049, 140.64036786659403]"
342,Baba Yara Stadium,40528,Africa,Ghana,Kumasi,"Asante Kotoko, King Faisal Babes","[6.68217, -1.6050641735932292]"
343,Estádio Major Antônio Couto Pereira,40502,South America,Brazil,"Curitiba, Paraná",Coritiba Foot Ball Club,"[-25.421437599999997, -49.25975668262751]"
344,Stage Front Stadium,40500,Europe,Spain,Barcelona,RCD Espanyol,"[41.347806899999995, 2.0748014131227706]"
345,Estadio Metropolitano de fútbol de Lara,40312,South America,Venezuela,Barquisimeto,Unión Lara,Location not found
346,Estadio Malvinas Argentinas,40268,South America,Argentina,Mendoza,Godoy Cruz Antonio Tomba,"[-32.8896213, -68.87990046530734]"
347,Stadion Lukas Enembe,40263,Southeast Asia,Indonesia,Nolokla,Persipura Jayapura,"[-2.5789948000000003, 140.57348337584483]"
348,Gwangju World Cup Stadium,40245,East Asia,South Korea,Gwangju,Gwangju FC,"[35.133695, 126.87498720743578]"
349,Sân vận động Quốc gia Mỹ Đình,40192,Southeast Asia,Vietnam,Hanoi,Vietnam national football team,"[21.02050265, 105.76392711668353]"
350,Goodison Park,40157,Europe,England,"Liverpool, North West",Everton FC,Location not found
351,Estádio Governador João Castelo,40149,South America,Brazil,"São Luís, Maranhão","Sampaio Corrêa FC, Moto Club SL, Maranhão AC","[-2.54875695, -44.260951338681295]"
352,Stade Miloud-Hadefi,40143,Africa,Algeria,Oran,"Algeria national football team, MC Oran","[35.728531149999995, -0.5494977814500405]"
353,Estadio Campeón del Siglo,40005,South America,Uruguay,Montevideo,Club Atlético Peñarol,"[-34.79792835, -56.066255237984066]"
354,Metalist Stadium,40003,Europe,Ukraine,Kharkiv,"FC Metalist Kharkiv, FC Shakhtar Donetsk","[49.980863, 36.26157596317647]"
355,Al-Janoub Stadium,40000,West Asia,Qatar,Al-Wakrah,No team,"[25.15970785, 51.57422710207068]"
356,Al-Thumama Stadium,40000,West Asia,Qatar,Al-Thumama,No team,"[25.2245513, 51.547948]"
357,Stade Ahmed-Zabana,40000,Africa,Algeria,Oran,MC Oran,"[35.683357, -0.6365156098334046]"
358,Stadion Batakan,40000,Southeast Asia,Indonesia,"Balikpapan, East Kalimantan",Persiba Balikpapan,"[-1.2331501, 116.94331884420521]"
359,Stadion Gelora Joko Samudro,40000,Southeast Asia,Indonesia,"Gresik, East Java",Gresik United,Location not found
360,Fisht Olympic Stadium,40000,Europe,Russia,Sochi,No team,Location not found
361,Rentschler Field,40000,North America,United States,"East Hartford, Connecticut",No team,"[41.7596149, -72.61883690516794]"
362,Jawaharlal Nehru Stadium,40000,South Asia,India,Kochi,"Kerala Blasters, India national football team",Location not found
363,Hang Jebat Stadium,40000,Southeast Asia,Malaysia,Malacca,Melaka United,"[2.2885304499999997, 102.23303172084889]"
364,Hong Kong Stadium,40000,East Asia,Hong Kong,So Kon Po,South China AA,"[22.27314255, 114.18865230926363]"
365,Stadium Negeri Pulau Pinang,40000,Southeast Asia,Malaysia,Batu Kawan,Penang FA,"[5.2614822, 100.43635413469647]"
366,Accra Sports Stadium,40000,Africa,Ghana,Accra,"Accra Hearts of Oak SC, Great Olympics","[5.5515153, -0.192335142020282]"
367,Sarawak Stadium,40000,Southeast Asia,Malaysia,Kuching,Sarawak FA,"[1.5885232500000002, 110.35934363025754]"
368,Bogyoke Aung San Stadium,40000,Southeast Asia,Myanmar,Yangon,Yangon United FC,"[16.7838408, 96.16062291549233]"
369,Resonac Dome Ōita,40000,East Asia,Japan,Ōita,Ōita Trinita,"[33.20078235, 131.65748521324446]"
370,Stadium Darul Makmur,40000,Southeast Asia,Malaysia,Kuantan,Pahang FA,"[3.8153887500000003, 103.32366081145281]"
371,Khalifa International Stadium,40000,West Asia,Qatar,Doha,Qatar national football team,Location not found
372,Stade de l’Amitié sino-gabonaise,40000,Africa,Gabon,Libreville,Gabon national football team,"[0.5218802, 9.392935904996314]"
373,Peoples Football Stadium,40000,South Asia,Pakistan,Karachi,Pakistan national football team,"[24.8582424, 66.9875836]"
374,JRD Tata Sports Complex Stadium,40000,South Asia,India,Jamshedpur,"Jamshedpur FC, Tata Football Academy","[22.80602985, 86.19352970848112]"
375,Bao'an Stadium,40000,East Asia,China,"Shenzhen, Guangdong",No team,"[22.5632358, 113.8764671]"
376,Kunming Tuodong Sports Centre Stadium,40000,East Asia,China,"Kunming, Yunnan",China national football team,Location not found
377,Taizhou Sports Centre Stadium,40000,East Asia,China,"Taizhou, Zhejiang",No team,"[28.6496194, 121.39537897875175]"
378,Wuhu Olympic Stadium,40000,East Asia,China,"Wuhu, Anhui",No team,Location not found
379,Huizhou Olympic Stadium,40000,East Asia,China,"Huizhou, Guangdong",No team,"[23.03555805, 114.44152011468373]"
